TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i
458,,Austria,Vietnam,Original,2008,2011,In Force,AUT,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.66,0.50,0.84,0.63,0.76,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,10,25,15,10,10,10,10,10,7.5,YES,YES,YES,NO,YES,NO,NO,NA
508,,Azerbaijan,Pakistan,Original,1996,1996,In Force,AZE,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.52,0.33,0.97,0.25,0.59,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,10,,10,10,10,10,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA
534,,Azerbaijan,Vietnam,Original,2014,2015,In Force,AZE,Upper middle income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.74,0.50,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,10,,10,10,10,10,10,10,10,YES,YES,YES,YES,NO,NO,NO,NA
569,,Bahrain,Pakistan,Original,2005,2010,Superseded,BHR,High income,Middle East & North Africa,PAK,Lower middle income,South Asia,0.48,0.46,0.47,0.50,0.53,6,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,10,,10,10,10,10,10,0,10,NO,NO,YES,YES,YES,NO,NO,NA
570,,Bahrain,Philippines,Original,2001,2004,In Force,BHR,High income,Middle East & North Africa,PHL,Lower middle income,East Asia & Pacific,0.63,0.43,0.72,0.75,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,10,10,15,10,10,10,15,10,0,YES,NO,YES,NO,YES,NO,NO,NA
575,,Bahrain,Sri Lanka,Original,2011,2015,In Force,BHR,High income,Middle East & North Africa,LKA,Upper middle income,South Asia,0.73,0.48,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,7.5,,10,10,10,10,10,10,10,NO,NO,YES,YES,YES,NO,NO,NA
585,,Bangladesh,Belarus,Original,2013,,Not In Force,BGD,Lower middle income,South Asia,BLR,Upper middle income,Europe & Central Asia,0.48,0.36,0.72,0.38,0.53,6,YES,6,NO,NO,YES,NO,NO,NO,NO,YES,10,10,12,7.5,7.5,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
586,,Bangladesh,Belgium,Original,1990,1997,In Force,BGD,Lower middle income,South Asia,BEL,High income,Europe & Central Asia,0.45,0.50,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,,15,15,15,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA
587,,Bangladesh,Canada,Original,1982,1982,In Force,BGD,Lower middle income,South Asia,CAN,High income,North America,0.45,0.50,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,15,,15,15,15,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
588,,Bangladesh,China,Original,1996,1998,In Force,BGD,Lower middle income,South Asia,CHN,Upper middle income,East Asia & Pacific,0.36,0.38,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,NO,YES,10,,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
589,,Bangladesh,Denmark,Original,1996,1997,In Force,BGD,Lower middle income,South Asia,DNK,High income,Europe & Central Asia,0.44,0.36,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,0,0,YES,NO,YES,NO,YES,NO,NO,NA
590,,Bangladesh,France,Original,1987,1988,In Force,BGD,Lower middle income,South Asia,FRA,High income,Europe & Central Asia,0.46,0.41,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
591,,Bangladesh,Germany,Original,1990,1990,In Force,BGD,Lower middle income,South Asia,DEU,High income,Europe & Central Asia,0.51,0.44,0.47,0.63,0.53,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,,15,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
593,,Bangladesh,India,Original,1991,1993,Superseded,BGD,Lower middle income,South Asia,IND,Lower middle income,South Asia,0.42,0.41,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,25,15,10,10,10,10,10,0,NO,NO,YES,NO,YES,NO,YES,NA
595,,Bangladesh,Indonesia,Original,2003,2007,In Force,BGD,Lower middle income,South Asia,IDN,Lower middle income,East Asia & Pacific,0.50,0.41,0.72,0.38,0.53,6,YES,3,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
596,,Bangladesh,Italy,Original,1990,1980,In Force,BGD,Lower middle income,South Asia,ITA,High income,Europe & Central Asia,0.47,0.44,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
597,,Bangladesh,Japan,Original,1991,1992,In Force,BGD,Lower middle income,South Asia,JPN,High income,East Asia & Pacific,0.38,0.41,0.34,0.38,0.35,6,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,10,25,15,10,10,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA
598,,Bangladesh,"Korea, Rep.",Original,1983,1983,In Force,BGD,Lower middle income,South Asia,KOR,High income,East Asia & Pacific,0.46,0.41,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
601,,Bangladesh,Malaysia,Original,1983,1981,In Force,BGD,Lower middle income,South Asia,MYS,Upper middle income,East Asia & Pacific,0.55,0.56,0.59,0.50,0.53,6,YES,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA
602,,Bangladesh,Mauritius,Original,2009,2012,In Force,BGD,Lower middle income,South Asia,MUS,Upper middle income,Sub-Saharan Africa,0.35,0.13,0.69,0.25,0.41,12,YES,12,NO,NO,YES,NO,NO,NO,NO,YES,10,,10,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NA
604,,Bangladesh,Netherlands,Original,1993,1995,In Force,BGD,Lower middle income,South Asia,NLD,High income,Europe & Central Asia,0.36,0.35,0.47,0.25,0.35,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,7.5,10,10,0,0,NO,NO,YES,NO,NO,NO,NO,NA
605,,Bangladesh,Norway,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,NOR,High income,Europe & Central Asia,0.40,0.36,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,0,0,NO,NO,YES,NO,YES,NO,YES,NA
606,,Bangladesh,Pakistan,Original,1981,1980,In Force,BGD,Lower middle income,South Asia,PAK,Lower middle income,South Asia,0.51,0.56,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA
607,,Bangladesh,Philippines,Original,1997,2004,In Force,BGD,Lower middle income,South Asia,PHL,Lower middle income,East Asia & Pacific,0.56,0.53,0.72,0.43,0.56,6,YES,6,NO,NO,YES,NO,NO,NO,NO,,10,25,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA
608,,Bangladesh,Poland,Original,1997,2000,In Force,BGD,Lower middle income,South Asia,POL,High income,Europe & Central Asia,0.46,0.41,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
610,,Bangladesh,Romania,Original,1987,1989,In Force,BGD,Lower middle income,South Asia,ROU,Upper middle income,Europe & Central Asia,0.46,0.41,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
611,,Bangladesh,Saudi Arabia,Original,2011,2012,In Force,BGD,Lower middle income,South Asia,SAU,High income,Middle East & North Africa,0.60,0.34,0.72,0.75,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,YES,10,,10,7.5,7.5,10,10,10,0,NO,YES,YES,NO,YES,NO,NO,NA
612,,Bangladesh,Singapore,Original,1980,1979,In Force,BGD,Lower middle income,South Asia,SGP,High income,East Asia & Pacific,0.43,0.44,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,15,,15,10,10,10,10,10,0,YES,NO,NO,NO,YES,NO,NO,NA
613,,Bangladesh,Sri Lanka,Original,1986,1989,In Force,BGD,Lower middle income,South Asia,LKA,Upper middle income,South Asia,0.49,0.56,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,,15,,15,15,15,15,15,15,0,YES,NO,YES,NO,YES,NO,NO,NA
614,,Bangladesh,Sweden,Original,1982,1984,In Force,BGD,Lower middle income,South Asia,SWE,High income,Europe & Central Asia,0.47,0.44,0.47,0.50,0.47,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
615,,Bangladesh,Switzerland,Original,2007,2009,In Force,BGD,Lower middle income,South Asia,CHE,High income,Europe & Central Asia,0.28,0.36,0.09,0.38,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,10,20,15,10,10,10,10,0,0,YES,NO,YES,NO,NO,NO,NO,NA
616,,Bangladesh,Thailand,Original,1997,1998,In Force,BGD,Lower middle income,South Asia,THA,Upper middle income,East Asia & Pacific,0.45,0.50,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,10,10,15,15,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA
617,,Bangladesh,Turkey,Original,1999,2004,In Force,BGD,Lower middle income,South Asia,TUR,Upper middle income,Europe & Central Asia,0.22,0.33,0.06,0.25,0.12,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,10,,10,10,10,10,10,0,0,NO,NO,YES,NO,NO,NO,NO,NA
618,,Bangladesh,United Arab Emirates,Original,2011,2013,In Force,BGD,Lower middle income,South Asia,ARE,High income,Middle East & North Africa,0.73,0.47,0.97,0.75,0.88,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,5,3,10,10,10,10,10,10,10,YES,NO,YES,YES,NO,NO,NO,NA
619,,Bangladesh,United Kingdom,Original,1979,1978,In Force,BGD,Lower middle income,South Asia,GBR,High income,Europe & Central Asia,0.42,0.39,0.47,0.40,0.43,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,,10,10,15,10,7.5,10,10,10,0,YES,NO,YES,,,NO,NO,NA
620,,Bangladesh,United States,Original,1980,,Not In Force,BGD,Lower middle income,South Asia,USA,High income,North America,0.47,0.51,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,15,10,25,15,15,15,10,0,0,YES,NO,YES,,YES,NO,YES,NA
621,,Bangladesh,United States,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,USA,High income,North America,0.41,0.33,0.47,0.43,0.44,6,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,10,10,15,10,5,10,10,0,0,YES,NO,YES,,YES,NO,NO,NA
622,,Bangladesh,Vietnam,Original,2004,2006,In Force,BGD,Lower middle income,South Asia,VNM,Lower middle income,East Asia & Pacific,0.82,0.75,0.84,0.88,0.88,6,YES,NO,NO,NO,YES,YES,YES,YES,YES,YES,15,,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA
634,,Barbados,Ghana,Original,2008,,Not In Force,BRB,High income,Latin America & Caribbean,GHA,Lower middle income,Sub-Saharan Africa,0.35,0.34,0.22,0.50,0.41,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,7.5,7.5,5,7.5,7.5,7.5,7.5,YES,NO,YES,YES,NO,NO,NO,NA
714,,Belarus,Mongolia,Original,2001,2008,In Force,BLR,Upper middle income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.44,0.50,0.56,0.25,0.41,12,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,,10,10,10,10,10,10,10,NO,NO,YES,NO,NO,NO,NO,NA
719,,Belarus,Pakistan,Original,2004,2007,Superseded,BLR,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.40,0.47,0.22,0.50,0.35,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,15,10,10,15,15,15,0,NO,NO,YES,YES,YES,NO,NO,NA
732,,Belarus,Sri Lanka,Original,2013,2015,In Force,BLR,Upper middle income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.61,0.36,0.84,0.63,0.71,6,YES,6,NO,YES,YES,YES,YES,NO,YES,YES,7.5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,NA
751,,Belarus,Vietnam,Original,1997,1998,In Force,BLR,Upper middle income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.61,0.50,0.72,0.63,0.65,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,15,,15,10,10,15,15,15,0,YES,YES,YES,NO,YES,NO,NO,NA
766,,Belgium,"Congo, Dem. Rep.",Original,2007,2012,In Force,BEL,High income,Europe & Central Asia,COD,Low income,Sub-Saharan Africa,0.27,0.34,0.09,0.38,0.24,6,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,10,25,15,10,0,10,10,10,0,YES,NO,NO,NO,YES,NO,YES,NA
791,,Belgium,Ghana,Original,2005,2009,In Force,BEL,High income,Europe & Central Asia,GHA,Lower middle income,Sub-Saharan Africa,0.31,0.46,0.22,0.25,0.29,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,10,10,10,10,0,10,NO,NO,YES,NO,NO,NO,YES,NA
811,,Belgium,Côte d'Ivoire,Original,1977,1980,In Force,BEL,High income,Europe & Central Asia,CIV,Lower middle income,Sub-Saharan Africa,0.49,0.51,0.84,0.13,0.47,6,YES,NO,NO,NO,YES,YES,YES,NO,NO,NO,15,,15,16,16,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA
837,,Belgium,Mongolia,Original,1995,2001,In Force,BEL,High income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.23,0.23,0.22,0.25,0.24,6,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,10,15,10,0,5,5,0,0,NO,NO,YES,NO,YES,NO,YES,NA
845,,Belgium,Nigeria,Original,1989,1995,In Force,BEL,High income,Europe & Central Asia,NGA,Lower middle income,Sub-Saharan Africa,0.49,0.48,0.36,0.63,0.47,3,YES,NO,YES,YES,YES,NO,NO,YES,YES,YES,12.5,10,15,12.5,12.5,12.5,12.5,12.5,0,NO,NO,YES,NO,YES,NO,NO,NA
851,,Belgium,Pakistan,Original,1980,1982,Superseded,BEL,High income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.59,0.54,0.59,0.63,0.59,6,YES,3,YES,YES,YES,NO,YES,YES,YES,NO,10,20,NO LIMIT,15,15,20,0,20,0,NO,YES,YES,YES,NO,NO,NO,NA
853,,Belgium,Philippines,Original,1976,1981,Superseded,BEL,High income,Europe & Central Asia,PHL,Lower middle income,East Asia & Pacific,0.79,0.66,0.97,0.75,0.82,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,15,,20,15,15,25,25,25,0,NO,YES,YES,NO,YES,NO,YES,NA
866,,Belgium,Rwanda,Original,2007,2011,In Force,BEL,High income,Europe & Central Asia,RWA,Low income,Sub-Saharan Africa,0.40,0.47,0.47,0.25,0.41,6,YES,3,YES,YES,NO,YES,NO,NO,NO,NO,0,25,15,10,10,10,10,10,10,YES,NO,NO,NO,YES,NO,YES,NA
871,,Belgium,Senegal,Original,1987,1994,In Force,BEL,High income,Europe & Central Asia,SEN,Lower middle income,Sub-Saharan Africa,0.54,0.51,0.97,0.13,0.53,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,16,,16,15,15,10,10,10,0,NO,NO,YES,NO,NO,NO,YES,NA
887,,Belgium,Sri Lanka,Original,1983,1984,In Force,BEL,High income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.55,0.44,0.84,0.38,0.59,6,YES,6,NO,NO,YES,NO,YES,NO,YES,YES,15,,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
901,,Belgium,Uganda,Original,2007,,Superseded,BEL,High income,Europe & Central Asia,UGA,Low income,Sub-Saharan Africa,0.37,0.40,0.34,0.38,0.41,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,5,10,15,10,0,10,10,0,10,NO,NO,YES,NO,YES,NO,YES,NA
916,,Belgium,Vietnam,Original,1996,2000,In Force,BEL,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.66,0.63,0.72,0.63,0.71,6,YES,6,NO,NO,YES,NO,NO,YES,YES,NO,5,50,15,10,10,15,15,15,15,YES,YES,YES,NO,NO,NO,YES,NA
926,,Benin,Norway,Original,1979,1979,In Force,BEN,Low income,Sub-Saharan Africa,NOR,High income,Europe & Central Asia,0.23,0.48,0.09,0.13,0.12,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,18,,18,25,25,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NA
927,,Benin,United Arab Emirates,Original,2013,,Not In Force,BEN,Low income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.36,0.00,0.72,0.38,0.53,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,0,,0,0,0,0,0,0,0,YES,NO,YES,NO,NO,NO,NO,NA
937,,Bhutan,India,Original,2013,2015,In Force,BTN,Lower middle income,South Asia,IND,Lower middle income,South Asia,0.66,0.50,0.98,0.50,0.76,4,YES,4,NO,NO,YES,YES,YES,NO,YES,NO,10,,10,10,10,10,10,10,10,YES,YES,NO,NO,YES,NO,YES,PPT
970,,Bosnia and Herzegovina,Pakistan,Original,2004,2007,Superseded,BIH,Upper middle income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.51,0.56,0.22,0.75,0.47,6,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO,10,,10,20,20,15,15,15,0,YES,YES,YES,YES,YES,NO,NO,NA
982,,Bosnia and Herzegovina,Sri Lanka,Pre-independence,1985,1987,In Force,BIH,Upper middle income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.45,0.41,0.58,0.38,0.44,9,NO,9,NO,NO,YES,NO,NO,NO,NO,YES,12.5,,12.5,10,10,10,10,10,0,NO,YES,YES,NO,NO,NO,NO,NA
1010,,Botswana,Eswatini,Original,2010,,Not In Force,BWA,Upper middle income,Sub-Saharan Africa,SWZ,Lower middle income,Sub-Saharan Africa,0.63,0.53,0.84,0.50,0.71,6,YES,3,NO,NO,YES,YES,NO,NO,YES,NO,10,25,15,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,YES,NA
1015,,Botswana,Zambia,Original,2013,2015,In Force,BWA,Upper middle income,Sub-Saharan Africa,ZMB,Lower middle income,Sub-Saharan Africa,0.60,0.45,0.84,0.50,0.71,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,25,7,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,YES,NA
1016,,Botswana,Zimbabwe,Original,2004,2008,In Force,BWA,Upper middle income,Sub-Saharan Africa,ZWE,Lower middle income,Sub-Saharan Africa,0.60,0.47,0.97,0.38,0.71,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,5,25,10,10,10,10,10,10,10,NO,NO,YES,NO,YES,NO,YES,NA
1044,,Brazil,Philippines,Original,1983,1992,In Force,BRA,Upper middle income,Latin America & Caribbean,PHL,Lower middle income,East Asia & Pacific,0.63,0.78,0.47,0.63,0.59,6,NO,NO,NO,NO,NO,YES,NO,NO,YES,YES,15,,25,15,15,15,15,15,15,NO,YES,YES,NO,YES,NO,NO,NA
1075,,Brunei Darussalam,Lao PDR,Original,2006,2011,In Force,BRN,High income,East Asia & Pacific,LAO,Lower middle income,East Asia & Pacific,0.48,0.47,0.72,0.25,0.53,6,YES,3,YES,YES,YES,YES,YES,YES,NO,NO,5,10,10,10,10,10,10,10,10,NO,NO,YES,NO,NO,NO,NO,NA
1079,,Brunei Darussalam,Pakistan,Original,2009,2010,In Force,BRN,High income,East Asia & Pacific,PAK,Lower middle income,South Asia,0.80,0.69,0.97,0.75,0.88,6,YES,3,NO,NO,YES,YES,YES,YES,YES,NO,10,,10,15,15,15,15,15,15,YES,NO,YES,YES,YES,NO,NO,NA
1088,,Brunei Darussalam,Vietnam,Original,2007,2010,In Force,BRN,High income,East Asia & Pacific,VNM,Lower middle income,East Asia & Pacific,0.66,0.38,0.97,0.63,0.76,6,YES,6,NO,NO,YES,YES,YES,YES,NO,NO,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
1128,,Bulgaria,Mongolia,Original,2000,2004,In Force,BGR,Upper middle income,Europe & Central Asia,MNG,Lower middle income,East Asia & Pacific,0.27,0.38,0.31,0.13,0.18,12,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,10,,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
1158,,Bulgaria,Vietnam,Original,1996,1997,In Force,BGR,Upper middle income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.72,0.69,0.84,0.63,0.76,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,15,,15,10,10,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA
1159,,Bulgaria,Zimbabwe,Original,1988,1991,In Force,BGR,Upper middle income,Europe & Central Asia,ZWE,Lower middle income,Sub-Saharan Africa,0.43,0.56,0.47,0.25,0.41,6,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,10,25,20,10,10,10,10,10,10,YES,NO,YES,NO,NO,NO,NO,NA
1162,,Burkina Faso,Morocco,Original,2012,,Not In Force,BFA,Low income,Sub-Saharan Africa,MAR,Lower middle income,Middle East & North Africa,0.74,0.50,0.97,0.75,0.88,6,YES,2,NO,NO,YES,YES,YES,YES,YES,NO,10,,10,10,10,10,10,10,10,YES,NO,YES,YES,YES,NO,YES,NA
1163,,Burkina Faso,Tunisia,Original,2003,2014,In Force,BFA,Low income,Sub-Saharan Africa,TUN,Lower middle income,Middle East & North Africa,0.31,0.23,0.45,0.25,0.32,9,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,8,,8,5,5,5,5,5,0,NO,NO,YES,NO,NO,NO,NO,NA
1165,,Cameroon,Canada,Original,1982,1988,In Force,CMR,Lower middle income,Sub-Saharan Africa,CAN,High income,North America,0.58,0.75,0.50,0.50,0.47,0,NO,6,YES,YES,YES,NO,YES,NO,NO,NO,20,,20,20,20,20,20,20,0,,,YES,YES,YES,NO,NO,NA
1170,,Cameroon,Morocco,Original,2012,,Not In Force,CMR,Lower middle income,Sub-Saharan Africa,MAR,Lower middle income,Middle East & North Africa,0.70,0.38,0.97,0.75,0.82,6,YES,3,NO,NO,YES,YES,YES,YES,YES,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,YES,YES,NO,YES,NA
1173,,Cameroon,Tunisia,Original,1999,2006,In Force,CMR,Lower middle income,Sub-Saharan Africa,TUN,Lower middle income,Middle East & North Africa,0.57,0.71,0.73,0.25,0.53,3,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,12,,12,15,15,15,15,15,15,NO,NO,YES,NO,YES,NO,NO,NA
