"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5i","5ii","5iii","5iv","5v","5vi","5vii","5viii","7i","7ii","8i","10i","10ii","10iii","11i","11ii","12i","12ia","12ib","12iv","13i","13ii","14i","16i","21i","25i","27i","29i"
"Albania","Spain","Original","2010","2011","In Force","0.1","0.1","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","NO","NO","PARTIAL"
"Albania","Kosovo","Original","2014","2016","In Force","0.2","0.25","0.22","0.13","0.18","6","NO","3","YES","YES","NO","NO","NO","NO","NO","NO","","","","10","10","10","10","10","0","YES","NO","NO","NO","NO","YES","YES","NA"
"Albania","Saudi Arabia","Original","2019","2020","In Force","0.36","0.23","0.47","0.38","0.41","6","YES","6","YES","YES","YES","NO","NO","NO","YES","NO","5","","5","6","6","8","8","5","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Albania","Switzerland","Amended by protocol","2015","2016","In Force","0.15","0.25","0.08","0.13","0.09","9","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","YES","NO","PARTIAL"
"Albania","Belgium","Amended by MLI","2019","2021","In Force","0.41","0.25","0.7","0.29","0.47","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Bosnia and Herzegovina","Amended by MLI","2019","2021","In Force","0.43","0.34","0.69","0.25","0.41","12","YES","6","NO","NO","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Croatia","Amended by MLI","2019","2021","In Force","0.44","0.38","0.69","0.25","0.41","12","YES","12","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Egypt","Amended by MLI","2019","2021","In Force","0.53","0.38","0.84","0.38","0.59","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","PPT"
"Albania","Estonia","Amended by MLI","2019","2021","In Force","0.31","0.22","0.45","0.25","0.32","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","PPT"
"Albania","France","Amended by MLI","2019","2021","In Force","0.26","0.31","0.19","0.29","0.19","12","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Iceland","Amended by MLI","2019","2021","In Force","0.35","0.34","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","India","Amended by MLI","2019","2021","In Force","0.66","0.5","0.97","0.5","0.76","6","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","NO","NO","YES","PPT"
"Albania","Ireland","Amended by MLI","2019","2021","In Force","0.28","0.23","0.34","0.29","0.31","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","7","0","7","7","7","0","YES","NO","YES","NO","","NO","NO","PPT"
"Albania","Latvia","Amended by MLI","2019","2021","In Force","0.28","0.25","0.33","0.25","0.26","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Malaysia","Amended by MLI","2019","2021","In Force","0.48","0.5","0.7","0.25","0.5","9","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","10","NO","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Malta","Amended by MLI","2019","2021","In Force","0.45","0.25","0.84","0.25","0.53","6","YES","6","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Netherlands","Amended by MLI","2019","2021","In Force","0.38","0.31","0.58","0.25","0.38","9","NO","9","NO","NO","NO","NO","YES","NO","NO","NO","0","","15","10","5","10","10","10","0","YES","NO","YES","NO","NO","YES","YES","PPT"
"Albania","Poland","Amended by MLI","2019","2021","In Force","0.2","0.28","0.06","0.25","0.12","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","10","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Qatar","Amended by MLI","2019","2021","In Force","0.35","0.2","0.59","0.25","0.41","6","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","5","","5","5","5","6","6","6","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Russia","Amended by MLI","2019","2021","In Force","0.31","0.38","0.19","0.38","0.24","12","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Serbia","Amended by MLI","2019","2021","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Singapore","Amended by MLI","2019","2021","In Force","0.29","0.19","0.31","0.38","0.29","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Slovenia","Amended by MLI","2019","2021","In Force","0.32","0.27","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","7","7","7","7","7","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Sweden","Amended by MLI","2019","2021","In Force","0.4","0.25","0.7","0.25","0.44","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","YES","NO","NO","PPT"
"Albania","United Arab Emirates","Amended by MLI","2019","2021","In Force","0.38","0.16","0.72","0.25","0.47","6","YES","9","YES","YES","YES","YES","YES","NO","NO","NO","5","10","10","0","0","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","United Kingdom","Amended by MLI","2019","2021","In Force","0.12","0.13","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","YES","YES","PPT"
"Albania","Austria","Original","2007","2009","In Force","0.23","0.25","0.33","0.13","0.21","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Belgium","Amended by MLI","2019","2021","In Force","0.41","0.25","0.7","0.29","0.47","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Bosnia and Herzegovina","Amended by MLI","2019","2021","In Force","0.43","0.34","0.69","0.25","0.41","12","YES","6","NO","NO","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Bulgaria","Original","1998","2000","In Force","0.4","0.38","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","China","Original","2004","2006","In Force","0.36","0.38","0.45","0.25","0.32","9","YES","9","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Croatia","Amended by MLI","2019","2021","In Force","0.44","0.38","0.69","0.25","0.41","12","YES","12","NO","NO","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Czechia","Original","1995","1997","In Force","0.33","0.54","0.47","0","0.31","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","10","25","15","12","12","10","5","10","10","NO","NO","NO","NO","","NO","NO","NA"
"Albania","Egypt","Amended by MLI","2019","2021","In Force","0.53","0.38","0.84","0.38","0.59","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","YES","YES","NO","NO","NO","NO","PPT"
"Albania","Estonia","Amended by MLI","2019","2021","In Force","0.31","0.22","0.45","0.25","0.32","9","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","PPT"
"Albania","France","Amended by MLI","2019","2021","In Force","0.26","0.31","0.19","0.29","0.19","12","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","5","25","15","10","10","5","5","5","0","YES","NO","YES","NO","","NO","YES","PPT"
"Albania","Germany","Original","2010","2012","In Force","0.23","0.25","0.2","0.25","0.21","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Albania","Greece","Original","1995","2001","In Force","0.34","0.19","0.58","0.25","0.38","9","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","5","","5","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Hungary","Original","1992","1996","In Force","0.11","0.16","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","0","0","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Iceland","Amended by MLI","2019","2021","In Force","0.35","0.34","0.47","0.25","0.35","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","India","Amended by MLI","2019","2021","In Force","0.66","0.5","0.97","0.5","0.76","6","YES","6","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","10","YES","YES","YES","NO","NO","NO","YES","PPT"
"Albania","Ireland","Amended by MLI","2019","2021","In Force","0.28","0.23","0.34","0.29","0.31","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","7","0","7","7","7","0","YES","NO","YES","NO","","NO","NO","PPT"
"Albania","Italy","Original","1994","2000","In Force","0.19","0.25","0.19","0.13","0.12","12","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","10","","10","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","South Korea","Original","2006","2008","In Force","0.43","0.34","0.7","0.25","0.44","9","YES","6","NO","NO","YES","NO","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Kosovo","Original","2014","2016","In Force","0.2","0.25","0.22","0.13","0.18","6","NO","3","YES","YES","NO","NO","NO","NO","NO","NO","","","","10","10","10","10","10","0","YES","NO","NO","NO","NO","YES","YES","NA"
"Albania","Kuwait","Original","2010","2014","In Force","0.31","0.34","0.47","0.13","0.29","6","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","10","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","Latvia","Amended by MLI","2019","2021","In Force","0.28","0.25","0.33","0.25","0.26","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Malaysia","Amended by MLI","2019","2021","In Force","0.48","0.5","0.7","0.25","0.5","9","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","10","10","10","10","10","10","NO","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Malta","Amended by MLI","2019","2021","In Force","0.45","0.25","0.84","0.25","0.53","6","YES","6","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Moldova","Original","2002","2004","In Force","0.58","0.28","0.95","0.5","0.68","9","YES","3","NO","NO","YES","YES","YES","YES","YES","NO","5","25","10","5","5","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Montenegro","Pre-independence","2004","2006","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Netherlands","Amended by MLI","2019","2021","In Force","0.38","0.31","0.58","0.25","0.38","9","NO","9","NO","NO","NO","NO","YES","NO","NO","NO","0","","15","10","5","10","10","10","0","YES","NO","YES","NO","NO","YES","YES","PPT"
"Albania","North Macedonia","Original","1998","1999","In Force","0.44","0.38","0.7","0.25","0.44","9","YES","9","NO","NO","YES","NO","NO","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Albania","Norway","Original","1998","2000","In Force","0.53","0.38","0.72","0.5","0.59","6","YES","6","NO","NO","YES","NO","NO","YES","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","NA"
"Albania","Poland","Amended by MLI","2019","2021","In Force","0.2","0.28","0.06","0.25","0.12","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","10","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Qatar","Amended by MLI","2019","2021","In Force","0.35","0.2","0.59","0.25","0.41","6","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","5","","5","5","5","6","6","6","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Romania","Original","1994","1995","In Force","0.47","0.47","0.58","0.38","0.44","9","YES","9","YES","YES","YES","NO","YES","YES","NO","NO","10","25","15","10","10","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Albania","Russia","Amended by MLI","2019","2021","In Force","0.31","0.38","0.19","0.38","0.24","12","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","10","","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Saudi Arabia","Original","2019","2020","In Force","0.36","0.23","0.47","0.38","0.41","6","YES","6","YES","YES","YES","NO","NO","NO","YES","NO","5","","5","6","6","8","8","5","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Albania","Serbia","Amended by MLI","2019","2021","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Singapore","Amended by MLI","2019","2021","In Force","0.29","0.19","0.31","0.38","0.29","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Slovenia","Amended by MLI","2019","2021","In Force","0.32","0.27","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","7","7","7","7","7","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Spain","Original","2010","2011","In Force","0.1","0.1","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","0","","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","NO","NO","PARTIAL"
"Albania","Sweden","Amended by MLI","2019","2021","In Force","0.4","0.25","0.7","0.25","0.44","9","YES","9","NO","NO","NO","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Switzerland","Amended by protocol","2015","2016","In Force","0.15","0.25","0.08","0.13","0.09","9","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","YES","NO","PARTIAL"
"Albania","Turkey","Original","1994","1997","In Force","0.19","0.38","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Albania","United Arab Emirates","Amended by MLI","2019","2021","In Force","0.38","0.16","0.72","0.25","0.47","6","YES","9","YES","YES","YES","YES","YES","NO","NO","NO","5","10","10","0","0","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","United Kingdom","Amended by MLI","2019","2021","In Force","0.12","0.13","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","YES","YES","PPT"
"Algeria","Tunisia","Original","1985","1986","In Force","0.54","0.5","0.75","0.38","0.53","0","YES","0","NO","NO","YES","NO","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","","","NO LIMIT","NO LIMIT","NO LIMIT","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Libya","Original","1988","null","In Force","0.57","0.75","0.63","0.33","0.47","0","YES","0","NO","NO","NO","NO","NO","NO","NO","NO","NO LIMIT","","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","0","","","YES","NO","YES","NO","NO","NA"
"Algeria","Morocco","Original","1990","null","In Force","0.46","0.4","0.73","0.25","0.47","3","YES","3","NO","NO","YES","NO","NO","NO","YES","NO","12","","12","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Italy","Original","1991","1996","In Force","0.46","0.52","0.48","0.38","0.41","3","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","15","","15","15","15","15","5","15","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Belgium","Original","1991","2004","In Force","0.46","0.52","0.61","0.25","0.41","3","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","15","","15","15","15","15","5","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Romania","Original","1994","1997","In Force","0.51","0.56","0.72","0.25","0.47","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Turkey","Original","1994","1997","In Force","0.46","0.4","0.72","0.25","0.47","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","12","","12","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Indonesia","Original","1995","2001","In Force","0.68","0.56","0.98","0.5","0.71","3","YES","3","NO","NO","YES","YES","YES","YES","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Syria","Original","1997","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","Jordan","Original","1997","2002","In Force","0.64","0.56","0.84","0.5","0.65","6","YES","6","NO","NO","YES","YES","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Algeria","South Africa","Original","1998","2001","In Force","0.38","0.41","0.34","0.38","0.35","6","YES","6","YES","YES","NO","NO","NO","NO","YES","NO","10","25","15","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Bulgaria","Original","1998","2006","In Force","0.36","0.38","0.45","0.25","0.32","9","NO","9","YES","YES","NO","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Canada","Original","1999","2000","In Force","0.52","0.56","0.61","0.38","0.47","3","YES","3","NO","NO","NO","NO","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Algeria","France","Original","1999","2002","In Force","0.27","0.32","0.11","0.38","0.24","3","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","12","0","12","5","12","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Oman","Original","2000","2004","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","Bahrain","Original","2000","2004","In Force","0.36","0","0.47","0.63","0.53","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Algeria","Egypt","Original","2001","2004","In Force","0.59","0.31","0.83","0.63","0.68","9","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","5","5","10","10","10","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Algeria","United Arab Emirates","Original","2001","2005","In Force","0.28","0.13","0.45","0.25","0.32","9","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","0","","0","0","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","South Korea","Original","2001","2007","In Force","0.23","0.34","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","2","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Lebanon","Original","2002","2007","In Force","0.3","0.44","0.47","0","0.24","6","YES","3","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","10","10","10","10","10","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Algeria","Spain","Original","2002","2006","In Force","0.12","0.27","0.09","0","0.06","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","10","15","5","0","7","14","7","0","NO","NO","NO","NO","NO","NO","YES","NA"
"Algeria","Ukraine","Original","2002","2005","In Force","0.49","0.38","0.72","0.38","0.53","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Austria","Original","2003","2006","In Force","0.22","0.31","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","0","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Portugal","Original","2003","2007","In Force","0.27","0.47","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","10","25","15","15","15","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Russia","Original","2006","2008","In Force","0.45","0.5","0.59","0.25","0.41","6","YES","3","NO","NO","NO","NO","NO","NO","YES","NO","5","25","15","15","15","15","15","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Kuwait","Original","2006","2017","In Force","0.43","0.19","0.84","0.25","0.53","6","YES","6","NO","NO","YES","NO","YES","NO","YES","NO","0","","0","0","0","15","15","15","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Switzerland","Original","2006","2010","In Force","0.3","0.31","0.34","0.25","0.29","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","20","15","10","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","China","Original","2006","2008","In Force","0.26","0.31","0.09","0.38","0.24","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","25","10","7","7","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Germany","Original","2007","2009","In Force","0.32","0.38","0.22","0.38","0.29","6","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Qatar","Original","2008","2012","In Force","0.39","0.06","0.72","0.38","0.53","6","YES","6","NO","NO","NO","YES","NO","NO","NO","NO","0","","0","0","0","5","5","5","0","NO","NO","YES","YES","YES","NO","YES","NA"
"Algeria","Iran","Original","2008","2011","In Force","0.33","0.19","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
